"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
aacd_studyid,registration_and_eligibility,"Subject Details",text,"1.1 Patient Study Registration Number:",,,,,,,,y,,
date_reg,registration_and_eligibility,,text,Date,,,date_ymd,,,,,,,
atlanta,registration_and_eligibility,,text,"1. How long have you lived in Atlanta?",,,,,,y,,,,
site_name,registration_and_eligibility,,radio,"2. In what area of town do you currently live?","1, Downtown | 2, Midtown | 3, South of Airport | 4, Emory Area | 5, Marietta | 6, Lawrenceville | 7, Alpharetta/Roswell | 8, Kennesaw | 9, Other",,,,,,,,,
year_birth,registration_and_eligibility,,text,"3. Year of Birth",,,integer,1900,2030,,,,,
gender,registration_and_eligibility,,radio,"4. Gender","1, Male | 2, Female",,,,,,,,,
pt_ctbrth_plc,demographics,"Subject's Country of Birth and Family Status",dropdown,"1.2 Patient's country of birth:","1, United States | 2, Afghanistan | 3, Albania | 4, Algeria | 5, American Samoa | 6, Andorra | 7, Angola | 8, Anguilla | 9, Antarctica | 10, Antigua and Barbuda | 11, Argentina | 12, Armenia | 13, Aruba | 14, Australia | 15, Austria | 16, Azerbaijan | 17, Bahamas | 18, Bahrain | 19, Bangladesh | 20, Barbados | 21, Belarus | 22, Belgium | 23, Belize | 24, Benin | 25, Bermuda | 26, Bhutan | 27, Bolivia | 28, Bosnia and Herzegovina | 29, Botswana | 30, Brazil | 31, British Indian Ocean Territory | 32, British Virgin Islands | 33, Brunei | 34, Bulgaria | 35, Burkina Faso | 36, Burma (Myanmar) | 37, Burundi | 38, Cambodia | 39, Cameroon | 40, Canada | 41, Cape Verde | 42, Cayman Islands | 43, Central African Republic | 44, Chad | 45, Chile | 46, China | 47, Christmas Island | 48, Cocos (Keeling) Islands | 49, Colombia | 50, Comoros | 51, Cook Islands | 52, Costa Rica | 53, Croatia | 54, Cuba | 55, Cyprus | 56, Czech Republic | 57, Democratic Republic of the Congo | 58, Denmark | 59, Djibouti | 60, Dominica | 61, Dominican Republic | 62, Ecuador | 63, Egypt | 64, El Salvador | 65, Equatorial Guinea | 66, Eritrea | 67, Estonia | 68, Ethiopia | 69, Falkland Islands | 70, Faroe Islands | 71, Fiji | 72, Finland | 73, France | 74, French Polynesia | 75, Gabon | 76, Gambia | 77, Gaza Strip | 78, Georgia | 79, Germany | 80, Ghana | 81, Gibraltar | 82, Greece | 83, Greenland | 84, Grenada | 85, Guam | 86, Guatemala | 87, Guinea | 88, Guinea-Bissau | 89, Guyana | 90, Haiti | 91, Holy See (Vatican City) | 92, Honduras | 93, Hong Kong | 94, Hungary | 95, Iceland | 96, India | 97, Indonesia | 98, Iran | 99, Iraq | 100, Ireland | 101, Isle of Man | 102, Israel | 103, Italy | 104, Ivory Coast | 105, Jamaica | 106, Japan | 107, Jersey | 108, Jordan | 109, Kazakhstan | 110, Kenya | 111, Kiribati | 112, Kosovo | 113, Kuwait | 114, Kyrgyzstan | 115, Laos | 116, Latvia | 117, Lebanon | 118, Lesotho | 119, Liberia | 120, Libya | 121, Liechtenstein | 122, Lithuania | 123, Luxembourg | 124, Macau | 125, Macedonia | 126, Madagascar | 127, Malawi | 128, Malaysia | 129, Maldives | 130, Mali | 131, Malta | 132, Marshall Islands | 133, Mauritania | 134, Mauritius | 135, Mayotte | 136, Mexico | 137, Micronesia | 138, Moldova | 139, Monaco | 140, Mongolia | 141, Montenegro | 142, Montserrat | 143, Morocco | 144, Mozambique | 145, Namibia | 146, Nauru | 147, Nepal | 148, Netherlands | 149, Netherlands Antilles | 150, New Caledonia | 151, New Zealand | 152, Nicaragua | 153, Niger | 154, Nigeria | 155, Niue | 156, Norfolk Island | 157, North Korea | 158, Northern Mariana Islands | 159, Norway | 160, Oman | 161, Pakistan | 162, Palau | 163, Panama | 164, Papua New Guinea | 165, Paraguay | 166, Peru | 167, Philippines | 168, Pitcairn Islands | 169, Poland | 170, Portugal | 171, Puerto Rico | 172, Qatar | 173, Republic of the Congo | 174, Romania | 175, Russia | 176, Rwanda | 177, Saint Barthelemy | 178, Saint Helena | 179, Saint Kitts and Nevis | 180, Saint Lucia | 181, Saint Martin | 182, Saint Pierre and Miquelon | 183, Saint Vincent and the Grenadines | 184, Samoa | 185, San Marino | 186, Sao Tome and Principe | 187, Saudi Arabia | 188, Senegal | 189, Serbia | 190, Seychelles | 191, Sierra Leone | 192, Singapore | 193, Slovakia | 194, Slovenia | 195, Solomon Islands | 196, Somalia | 197, South Africa | 198, South Korea | 199, Spain | 200, Sri Lanka | 201, Sudan | 202, Suriname | 203, Svalbard | 204, Swaziland | 205, Sweden | 206, Switzerland | 207, Syria | 208, Taiwan | 209, Tajikistan | 210, Tanzania | 211, Thailand | 212, Timor-Leste | 213, Togo | 214, Tokelau | 215, Tonga | 216, Trinidad and Tobago | 217, Tunisia | 218, Turkey | 219, Turkmenistan | 220, Turks and Caicos Islands | 221, Tuvalu | 222, Uganda | 223, Ukraine | 224, United Arab Emirates | 225, United Kingdom | 226, Uruguay | 227, US Virgin Islands | 228, Uzbekistan | 229, Vanuatu | 230, Venezuela | 231, Vietnam | 232, Wallis and Futuna | 233, West Bank | 234, Western Sahara | 235, Yemen | 236, Zambia | 237, Zimbabwe",,,,,,"[pt_ctbirth]= ""1""",,,
pt_ctbirth,demographics,,radio,"1.1 Was the subject born in a country other than where they now reside?","1, Yes | 2, No | 9, Unknown",,,,,,,,RH,
pt_ctbrth_dt,demographics,,text,"1.3 Estimated date of arrival in present country:",,"(If exact day is unknown, then estimate it as the 15th of the month, if exact month is unknown, then estimate it as the 1st of July)",time,,,,"[pt_ctbirth]= ""1""",,,
sub_adopted,demographics,,radio,"1.4 Was the subject adopted?","1, Yes | 0, No | 99, Unknown",,,,,,,,,
sub_fullsib,demographics,,text,"1.5 Number of Full Siblings:",,"Indicate below if this is unknown",,,,,"[sub_adopted]= ""0""",,,
sub_fullsibna,demographics,,radio,,"1, Number of Full Siblings is Unknown",,,,,,"([sub_adopted]= ""0"") and ([sub_fullsib] = """")",,,
sub_halfsib,demographics,,text,"1.6 Number of Half Siblings:",,"Indicate below if this is unknown",integer,0,12,,"[sub_adopted]= ""0""",,,
sub_halfsibna,demographics,,radio,,"1, Number of Half Siblings is Unknown",,,,,,"([sub_adopted]= ""0"") and ([sub_halfsib] = """")",,,
mat_aa,demographics,"Summary of African Heritage",radio,"2.1 Does the patient's mother consider themselves to be of African Descent?","1, Yes | 0, No | 99, Unknown",,,,,,,,,
pat_aa,demographics,,radio,"2.2 Does the patient's father consider themselves to be of African Descent?","1, Yes | 0, No | 99, Unknown",,,,,,,,,
sub_jewstatus,demographics,"Subject's Jewish Heritage",radio,"3.0a Is the Jewish Heritage of any of the Subject's Four Grandparents known?","1, Yes | 0, No","If you are not able to reasonably infer the Jewish Heritage for even one of the subject's four grandparents then indicate ""No""",,,,,"([sub_adopted]= ""0"") or ([sub_adopted]= ""99"")",,,
sub_jewno,demographics,,radio,"3.01a Were any of the subject's grandparents Jewish?","1, Yes | 0, No | 99, Unknown",,,,,,"[sub_jewstatus]= ""1""",,,
mgm_jew,demographics,,dropdown,"3.1a Maternal Grandmother","0, N (Not Jewish) | 1, J (Jewish: type uncertain) | 2, NA (Jewish: Non-Ashkenazi) | 3, JA (Jewish: Ashkenazi) | 99, U (Jewish Heritage Unknown)",,,,,,"([sub_jewno]= ""1"") or ([sub_jewno]= ""99"")",,,
mgf_jew,demographics,,dropdown,"3.2a Maternal Grandfather","0, N (Not Jewish) | 1, J (Jewish: type uncertain) | 2, NA (Jewish: Non-Ashkenazi) | 3, JA (Jewish: Ashkenazi) | 99, U (Jewish Heritage Unknown)",,,,,,"([sub_jewno]= ""1"") or ([sub_jewno]= ""99"")",,,
pgm_jew,demographics,,dropdown,"3.3a Paternal Grandmother","0, N (Not Jewish) | 1, J (Jewish: type uncertain) | 2, NA (Jewish: Non-Ashkenazi) | 3, JA (Jewish: Ashkenazi) | 99, U (Jewish Heritage Unknown)",,,,,,"([sub_jewno]= ""1"") or ([sub_jewno]= ""99"")",,,
pgf_jew,demographics,,dropdown,"3.4a Paternal Grandfather","0, N (Not Jewish) | 1, J (Jewish: type uncertain) | 2, NA (Jewish: Non-Ashkenazi) | 3, JA (Jewish: Ashkenazi) | 99, U (Jewish Heritage Unknown)",,,,,,"([sub_jewno]= ""1"") or ([sub_jewno]= ""99"")",,,
sub_hispstatus,demographics,"Subject's Hispanic Heritage",radio,"3.0b Is the Hispanic Heritage of any of the Subject's Four Grandparents known?","1, Yes | 0, No","If you are not able to reasonably infer the Hispanic Heritage for even one of the subject's four grandparents then indicate ""No""",,,,,"([sub_adopted]= ""0"") or ([sub_adopted]= ""99"")",,,
sub_hispno,demographics,,radio,"3.01b Were any of the subject's grandparents Hispanic?","1, Yes | 0, No | 99, Unknown",,,,,,"[sub_hispstatus]= ""1""",,,
mgm_hisp,demographics,,dropdown,"3.1b Maternal Grandmother","0, NH (Not Hispanic) | 1, H (Hispanic) | 99, U (Hispanic Heritage Unknown)",,,,,,"([sub_hispno]= ""1"") or ([sub_hispno]= ""99"")",,,
mgf_hisp,demographics,,dropdown,"3.2b Maternal Grandfather","0, NH (Not Hispanic) | 1, H (Hispanic) | 99, U (Hispanic Heritage Unknown)",,,,,,"([sub_hispno]= ""1"") or ([sub_hispno]= ""99"")",,,
pgm_hisp,demographics,,dropdown,"3.3b Paternal Grandmother","0, NH (Not Hispanic) | 1, H (Hispanic) | 99, U (Hispanic Heritage Unknown)",,,,,,"([sub_hispno]= ""1"") or ([sub_hispno]= ""99"")",,,
pgf_hisp,demographics,,dropdown,"3.4b Paternal Grandfather","0, NH (Not Hispanic) | 1, H (Hispanic) | 99, U (Hispanic Heritage Unknown)",,,,,,"([sub_hispno]= ""1"") or ([sub_hispno]= ""99"")",,,
fd_t1,neuropsych_digit_span,"DIGIT SPAN    Administration:    Forward: ""I am going to say some numbers. Listen carefully, and when I am through, say them right after me. Ready?""  (Interjection between each presentation). ""Here is another"".  (If patient repeats each number immediately after you, say ""I'll be saying several numbers. I would like you to wait until I've finished saying them before you respond"").   (If patient asks for repetition, say ""Just tell me what you can remember"").    Backward: ""I'm going to say some more numbers. When I stop, I want you to say them backwards. Ready?"" ""Try this one: 2-8-3"".  (If correct) ""That''s right. Now I have some more numbers. Remember, you are to say them backwards.""  (If incorrect) ""No, I said 2-8-3, so to say these backward, you would need to say 3-8-2.   Now try these numbers: remember, you are to say them backward.""  ",descriptive,"FORWARD DIGIT 
TRIAL 1",,,,,,,,,,
