"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
neuro_gds15_q4,neuropsych_gds_15,,yesno,"Do you often get bored?",,,,,,,,,RH,
neuro_gds15_q5,neuropsych_gds_15,,yesno,"Are you in good spirits most of the time?",,,,,,,,,RH,
neuro_gds15_q6,neuropsych_gds_15,,yesno,"Are you afraid something bad is going to happen to you?",,,,,,,,,RH,
neuro_gds15_q7,neuropsych_gds_15,,yesno,"Do you feel happy most of the time?",,,,,,,,,RH,
neuro_gds15_q8,neuropsych_gds_15,,yesno,"Do you often feel helpless?",,,,,,,,,RH,
neuro_gds15_q9,neuropsych_gds_15,,yesno,"Do you prefer to stay at home rather than go out and do new things?",,,,,,,,,RH,
neuro_gds15_q10,neuropsych_gds_15,,yesno,"Do you feel you have more problems with your memory than most people?",,,,,,,,,RH,
neuro_gds15_q11,neuropsych_gds_15,,yesno,"Do you think it's wonderful to be alive now?",,,,,,,,,RH,
neuro_gds15_q12,neuropsych_gds_15,,yesno,"Do you feel pretty worthless the way you are now?",,,,,,,,,RH,
neuro_gds15_q13,neuropsych_gds_15,,yesno,"Do you feel full of energy?",,,,,,,,,RH,
neuro_gds15_q14,neuropsych_gds_15,,yesno,"Do you feel your situation is hopeless?",,,,,,,,,RH,
neuro_gds15_q15,neuropsych_gds_15,,yesno,"Do you think most people are better off than you are?",,,,,,,,,RH,
