"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
aacd_studyid,registration_and_eligibility,"Subject Details",text,"1.1 Patient Study Registration Number:",,,,,,,,y,,
date_reg,registration_and_eligibility,,text,Date,,,date_ymd,,,,,,,
atlanta,registration_and_eligibility,,text,"1. How long have you lived in Atlanta?",,,,,,y,,,,
site_name,registration_and_eligibility,,radio,"2. In what area of town do you currently live?","1, Downtown | 2, Midtown | 3, South of Airport | 4, Emory Area | 5, Marietta | 6, Lawrenceville | 7, Alpharetta/Roswell | 8, Kennesaw | 9, Other",,,,,,,,,
year_birth,registration_and_eligibility,,text,"3. Year of Birth",,,integer,1900,2030,,,,,
gender,registration_and_eligibility,,radio,"4. Gender","1, Male | 2, Female",,,,,,,,,
demo_name,demographics_ccad,,text,Name,,,,,,y,,y,,
demo_dob,demographics_ccad,,text,"Date of Birth",,,date_mdy,,,,,y,,
demo_ssn,demographics_ccad,,text,"SSN #",,,,,,y,,,,
demo_race,demographics_ccad,,text,Race,,,,,,,,,,
demo_address,demographics_ccad,,notes,Address,,,,,,y,,y,,
demo_homeph,demographics_ccad,,text,"Home Phone Number",,,,,,y,,,,
demo_workph,demographics_ccad,,text,"Work Phone Number",,,,,,y,,,,
demo_cellph,demographics_ccad,,text,"Cell Phone Number",,,,,,y,,,,
demo_marital,demographics_ccad,,radio,"Marital Status","1, Married | 2, Single | 3, Divorced | 4, Widowed",,,,,,,,,
demo_hand,demographics_ccad,,radio,Handedness,"1, Right | 2, Left | 3, Ambidextrous",,,,,,,,,
demo_employment,demographics_ccad,,text,"Employment Status",,,,,,,,,,
demo_occupation,demographics_ccad,,text,"Primary Occupation",,,,,,,,,,
demo_education,demographics_ccad,,text,"Years of Education",,,,,,,,,,
demo_degrees,demographics_ccad,,text,"Degree(s) Earned",,,,,,,,,,
demo_attorney1,demographics_ccad,,yesno,"Have you executed Durable Power of Attorney for HEALTHCARE?",,,,,,,,,,
demo_livingwill,demographics_ccad,,yesno,"Have you executed Living Will?",,"A living will is a document that states how aggressive you want medical care near the end of your life. A living will is NOT your ""Last Will & Testament.""",,,,,,,,
demo_attorney2,demographics_ccad,,yesno,"Have you executed Durable Power of Attorney for FINANCES?",,,,,,,,,,
contact_fam_name,contact_information,,text,"Family Contact Name",,,,,,y,,,,
contact_fam_relation,contact_information,,text,"Relationship to patient",,,,,,,,,,
contact_fam_address,contact_information,,notes,Address,,,,,,y,,,,
contact_fam_homeph,contact_information,,text,"Home phone number",,,,,,y,,,,
contact_fam_workph,contact_information,,text,"Work phone number",,,,,,y,,,,
contact_fam_cellph,contact_information,,text,"Cell phone number",,,,,,y,,,,
contact_em_name,contact_information,,text,"Emergency Contact Name",,,,,,y,,,,
contact_em_relation,contact_information,,text,"Relationship to patient",,,,,,,,,,
contact_em_address,contact_information,,notes,Address,,,,,,y,,,,
contact_em_homeph,contact_information,,text,"Home phone number",,,,,,y,,,,
contact_em_workph,contact_information,,text,"Work phone number",,,,,,y,,,,
contact_em_cellph,contact_information,,text,"Cell phone number",,,,,,y,,,,
contact_pc_name,contact_information,,text,"Primary Caregiver Name (if other than Family Contact)",,,,,,y,,,,
contact_pc_relation,contact_information,,text,"Relationship to Patient",,,,,,,,,,
contact_pc_address,contact_information,,notes,Address,,,,,,y,,,,
contact_pc_homeph,contact_information,,text,"Home phone number",,,,,,y,,,,
contact_pc_workph,contact_information,,text,"Work phone number",,,,,,y,,,,
contact_pc_cellph,contact_information,,text,"Cell phone number",,,,,,y,,,,
hist_problem,history_of_present_illness,,notes,"Describe your main problem",,,,,,,,,,
hist_begindate,history_of_present_illness,,notes,"When did the symptoms begin?",,,,,,,,,,
hist_symptoms,history_of_present_illness,,notes,"How did the symptoms begin? (e.g. gradually, suddenly, intermittently)",,,,,,,,,,
hist_progress,history_of_present_illness,,notes,"Have things progressed? If yes, how?",,,,,,,,,,
hist_helpworsen,history_of_present_illness,,notes,"Has anything helped or worsened the symptoms? If yes, what?",,,,,,,,,,
hist_tests,history_of_present_illness,,notes,"What tests have already been performed? (e.g. MRI, CT scan) What were the results if known?",,,,,,,,,,
hist_smoking,history_of_present_illness,,radio,"Do you have any history of smoking cigarettes?","4, Yes (current user) | 5, Yes (not current user) | 6, No",,,,,,,,,
hist_smoking_current,history_of_present_illness,,text,"On average, how many pack(s) do you smoke per day?",,,,,,,"[hist_smoking] = '4'",,,
hist_smoking_past,history_of_present_illness,,text,"On average, how many pack(s) did you smoke per day?",,,,,,,"[hist_smoking] = '5'",,,
hist_drinking,history_of_present_illness,,text,"On average, how many drinks do you have per week?",,,,,,,,,,
hist_allergy_med,history_of_present_illness,,notes,"Are you allergic to any medication(s)? If yes, please list them.",,,,,,,,,,
hist_allergy_other,history_of_present_illness,,notes,"Do you have any other allergies? If yes, please list them.",,,,,,,,,,
system_weakness,review_of_systems,"Have you recently had any of the following symptoms?",yesno,Weakness,,,,,,,,,,
system_malaise,review_of_systems,,yesno,Malaise,,,,,,,,,,
system_appetite,review_of_systems,,yesno,"Appetite Loss",,,,,,,,,,
current_meds,current_medications,,yesno,"Are you taking any medications currently?",,,,,,,,,,
current_meds_1,current_medications,,text,"Medication 1",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_1,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
current_meds_2,current_medications,,text,"Medication 2",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_2,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
current_meds_3,current_medications,,text,"Medication 3",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_3,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
current_meds_4,current_medications,,text,"Medication 4",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_4,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
current_meds_5,current_medications,,text,"Medication 5",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_5,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
current_meds_6,current_medications,,text,"Medication 6",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_6,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
current_meds_7,current_medications,,text,"Medication 7",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_7,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
current_meds_8,current_medications,,text,"Medication 8",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_8,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
current_meds_9,current_medications,,text,"Medication 9",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_9,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
current_meds_10,current_medications,,text,"Medication 10",,,,,,,"[current_meds] = '1'",,,
current_meds_dosage_10,current_medications,,text,"Dosage/Time Taken",,,,,,,"[current_meds] = '1'",,,
past_neuro_meds,current_medications,,yesno,"Have you previously tried any other medications for your neurological problem?",,,,,,,,,,
past_neuro_meds_1,current_medications,,text,"Medication 1",,,,,,,"[past_neuro_meds] = '1'",,,
past_neuro_meds_dosage_1,current_medications,,text,"Dosage/Time Taken",,,,,,,"[past_neuro_meds] = '1'",,,
past_neuro_meds_2,current_medications,,text,"Medication 2",,,,,,,"[past_neuro_meds] = '1'",,,
past_neuro_meds_dosage_2,current_medications,,text,"Dosage/Time Taken",,,,,,,"[past_neuro_meds] = '1'",,,
past_neuro_meds_3,current_medications,,text,"Medication 3",,,,,,,"[past_neuro_meds] = '1'",,,
past_neuro_meds_dosage_3,current_medications,,text,"Dosage/Time Taken",,,,,,,"[past_neuro_meds] = '1'",,,
past_neuro_meds_4,current_medications,,text,"Medication 4",,,,,,,"[past_neuro_meds] = '1'",,,
past_neuro_meds_dosage_4,current_medications,,text,"Dosage/Time Taken",,,,,,,"[past_neuro_meds] = '1'",,,
past_neuro_meds_5,current_medications,,text,"Medication 5",,,,,,,"[past_neuro_meds] = '1'",,,
past_neuro_meds_dosage_5,current_medications,,text,"Dosage/Time Taken",,,,,,,"[past_neuro_meds] = '1'",,,
past_med_hist,past_medical_history,,yesno,"Have you had any serious medical problems, illnesses, or accidents since childhood? (i.e., high blood pressure, diabetes, heart attack, ulcers, asthma, cataracts, learning disability, etc.)",,,,,,,,,,
past_med_prob_1,past_medical_history,,text,"Problem 1",,,,,,,"[past_med_hist] = '1'",,,
past_med_date_1,past_medical_history,,text,Date,,,,,,,"[past_med_hist] = '1'",,,
past_med_prob_2,past_medical_history,,text,"Problem 2",,,,,,,"[past_med_hist] = '1'",,,
past_med_date_2,past_medical_history,,text,Date,,,,,,,"[past_med_hist] = '1'",,,
past_med_prob_3,past_medical_history,,text,"Problem 3",,,,,,,"[past_med_hist] = '1'",,,
past_med_date_3,past_medical_history,,text,Date,,,,,,,"[past_med_hist] = '1'",,,
past_med_prob_4,past_medical_history,,text,"Problem 4",,,,,,,"[past_med_hist] = '1'",,,
past_med_date_4,past_medical_history,,text,Date,,,,,,,"[past_med_hist] = '1'",,,
past_med_prob_5,past_medical_history,,text,"Problem 5",,,,,,,"[past_med_hist] = '1'",,,
past_med_date_5,past_medical_history,,text,Date,,,,,,,"[past_med_hist] = '1'",,,
past_med_pregnancy,past_medical_history,,checkbox,"Pregnancies, Miscarriages, Abortions?","1, Pregnancies | 2, Miscarriages | 3, Abortions | 4, None of the above",,,,,,,,,
past_surg_hist,past_medical_history,,yesno,"Do you have any history of surgery?",,,,,,,,,,
past_surg_hist_1,past_medical_history,,text,"Past surgical history 1",,,,,,,"[past_surg_hist] = '1'",,,
past_surg_date_1,past_medical_history,,text,Date,,,,,,,"[past_surg_hist] = '1'",,,
past_surg_hist_2,past_medical_history,,text,"Past surgical history 2",,,,,,,"[past_surg_hist] = '1'",,,
past_surg_date_2,past_medical_history,,text,Date,,,,,,,"[past_surg_hist] = '1'",,,
past_surg_hist_3,past_medical_history,,text,"Past surgical history 3",,,,,,,"[past_surg_hist] = '1'",,,
past_surg_date_3,past_medical_history,,text,Date,,,,,,,"[past_surg_hist] = '1'",,,
past_surg_hist_4,past_medical_history,,text,"Past surgical history 4",,,,,,,"[past_surg_hist] = '1'",,,
past_surg_date_4,past_medical_history,,text,Date,,,,,,,"[past_surg_hist] = '1'",,,
fam_hist_siblings,family_history,,text,"How many siblings have you ever had (currently living or deceased)?",,"Record number of brothers and sisters separately.",,,,,,,,
